750 56175 
3 385 1
3 355 1
3 83 1
3 72 1
3 146 1
3 214 1
3 452 1
3 587 1
3 739 1
3 105 1
3 625 1
3 91 1
3 294 1
3 728 1
3 227 1
3 96 1
3 163 1
3 743 1
3 691 1
3 399 1
3 176 1
3 647 1
3 557 1
3 611 1
3 630 1
3 110 1
3 279 1
3 660 1
3 180 1
3 315 1
3 731 1
3 713 1
3 635 1
3 699 1
3 172 1
3 400 1
3 590 1
3 603 1
3 633 1
3 32 1
3 371 1
3 721 1
3 305 1
3 668 1
3 76 1
3 479 1
3 326 1
3 543 1
3 350 1
3 242 1
3 354 1
3 736 1
3 290 1
3 324 1
3 210 1
3 120 1
3 240 1
3 530 1
3 602 1
3 102 1
3 45 1
3 738 1
3 411 1
3 137 1
3 67 1
3 139 1
3 30 1
3 470 1
3 33 1
3 174 1
3 144 1
3 265 1
3 352 1
3 156 1
3 206 1
3 149 1
3 694 1
3 308 1
3 192 1
3 284 1
3 61 1
3 664 1
3 344 1
3 648 1
3 510 1
3 60 1
3 157 1
3 151 1
3 562 1
3 351 1
3 555 1
3 715 1
3 358 1
3 657 1
3 48 1
3 348 1
3 218 1
3 414 1
3 426 1
3 741 1
3 49 1
3 128 1
3 477 1
3 15 1
3 565 1
3 332 1
3 90 1
3 101 1
3 720 1
3 9 1
3 275 1
3 236 1
3 504 1
3 27 1
3 654 1
3 509 1
3 89 1
3 403 1
3 78 1
3 517 1
3 186 1
3 675 1
3 409 1
3 160 1
3 104 1
3 545 1
3 469 1
3 375 1
3 451 1
3 54 1
3 269 1
3 8 1
3 370 1
3 642 1
3 505 1
3 189 1
3 374 1
3 252 1
3 571 1
3 524 1
3 69 1
3 330 1
3 368 1
4 745 1
4 725 1
4 17 1
4 371 1
4 308 1
4 413 1
4 344 1
4 696 1
4 591 1
4 375 1
4 662 1
4 64 1
4 641 1
4 552 1
4 195 1
4 241 1
4 203 1
4 659 1
4 166 1
4 706 1
4 738 1
4 445 1
4 365 1
4 114 1
4 296 1
4 660 1
4 112 1
4 723 1
4 12 1
4 71 1
4 382 1
4 244 1
4 329 1
4 161 1
4 396 1
4 272 1
4 485 1
4 13 1
4 543 1
4 364 1
4 160 1
4 5 1
4 346 1
4 576 1
4 582 1
4 676 1
4 491 1
4 675 1
4 645 1
4 15 1
4 198 1
4 658 1
4 405 1
4 481 1
4 559 1
4 212 1
4 97 1
4 409 1
4 513 1
4 190 1
4 520 1
4 163 1
4 646 1
4 289 1
4 107 1
4 181 1
4 707 1
4 95 1
4 137 1
4 259 1
4 320 1
4 661 1
4 586 1
4 218 1
4 132 1
4 509 1
4 555 1
4 311 1
4 487 1
4 620 1
4 517 1
4 77 1
4 699 1
4 331 1
4 49 1
4 40 1
4 702 1
4 449 1
4 151 1
4 733 1
4 390 1
4 447 1
4 201 1
4 557 1
4 704 1
4 27 1
4 490 1
4 204 1
4 237 1
4 750 1
4 62 1
4 358 1
4 226 1
4 562 1
4 482 1
4 238 1
4 343 1
4 455 1
4 593 1
4 219 1
4 558 1
4 463 1
4 668 1
4 328 1
4 573 1
4 336 1
4 389 1
4 684 1
4 35 1
4 515 1
4 80 1
4 188 1
4 186 1
4 545 1
4 341 1
4 748 1
4 280 1
4 172 1
4 180 1
4 142 1
4 106 1
4 727 1
4 418 1
4 440 1
4 94 1
4 426 1
4 52 1
4 454 1
4 268 1
4 24 1
4 298 1
4 541 1
4 385 1
4 42 1
4 156 1
4 425 1
4 233 1
4 421 1
4 456 1
4 570 1
4 29 1
4 441 1
5 301 1
5 172 1
5 750 1
5 79 1
5 620 1
5 279 1
5 262 1
5 213 1
5 71 1
5 443 1
5 630 1
5 324 1
5 689 1
5 156 1
5 115 1
5 393 1
5 444 1
5 586 1
5 602 1
5 204 1
5 634 1
5 418 1
5 14 1
5 542 1
5 143 1
5 68 1
5 34 1
5 469 1
5 566 1
5 738 1
5 522 1
5 604 1
5 236 1
5 91 1
5 273 1
5 699 1
5 11 1
5 229 1
5 376 1
5 538 1
5 746 1
5 335 1
5 258 1
5 347 1
5 517 1
5 66 1
5 639 1
5 368 1
5 631 1
5 53 1
5 361 1
5 452 1
5 259 1
5 725 1
5 473 1
5 200 1
5 587 1
5 629 1
5 744 1
5 621 1
5 190 1
5 212 1
5 22 1
5 459 1
5 471 1
5 563 1
5 57 1
5 349 1
5 478 1
5 367 1
5 334 1
5 551 1
5 220 1
5 366 1
5 251 1
5 387 1
5 272 1
5 133 1
5 253 1
5 238 1
5 701 1
5 282 1
5 470 1
5 94 1
5 337 1
5 419 1
5 331 1
5 622 1
5 535 1
5 487 1
5 341 1
5 515 1
5 346 1
5 264 1
5 67 1
5 234 1
5 495 1
5 316 1
5 88 1
5 399 1
5 184 1
5 645 1
5 400 1
5 547 1
5 659 1
5 384 1
5 352 1
5 434 1
5 513 1
5 438 1
5 582 1
5 656 1
5 64 1
5 274 1
5 312 1
5 321 1
5 239 1
5 691 1
5 169 1
5 581 1
5 44 1
5 54 1
5 673 1
5 13 1
5 489 1
5 544 1
5 203 1
5 660 1
5 228 1
5 408 1
5 158 1
5 292 1
5 205 1
5 342 1
5 188 1
5 218 1
5 716 1
5 420 1
5 198 1
5 199 1
5 380 1
5 465 1
5 423 1
5 339 1
5 32 1
5 564 1
5 732 1
5 289 1
5 694 1
5 594 1
5 583 1
5 683 1
5 718 1
5 616 1
6 42 1
6 21 1
6 342 1
6 384 1
6 209 1
6 189 1
6 19 1
6 581 1
6 655 1
6 98 1
6 126 1
6 121 1
6 45 1
6 538 1
6 447 1
6 446 1
6 377 1
6 511 1
6 79 1
6 532 1
6 646 1
6 191 1
6 514 1
6 671 1
6 598 1
6 610 1
6 396 1
6 519 1
6 301 1
6 689 1
6 63 1
6 156 1
6 139 1
6 721 1
6 472 1
6 233 1
6 496 1
6 499 1
6 412 1
6 506 1
6 719 1
6 510 1
6 213 1
6 677 1
6 417 1
6 137 1
6 561 1
6 386 1
6 521 1
6 458 1
6 247 1
6 668 1
6 261 1
6 595 1
6 362 1
6 715 1
6 504 1
6 152 1
6 683 1
6 335 1
6 657 1
6 425 1
6 559 1
6 83 1
6 431 1
6 674 1
6 92 1
6 432 1
6 151 1
6 402 1
6 127 1
6 192 1
6 244 1
6 500 1
6 515 1
6 395 1
6 155 1
6 174 1
6 614 1
6 43 1
6 470 1
6 686 1
6 580 1
6 697 1
6 631 1
6 623 1
6 374 1
6 339 1
6 279 1
6 235 1
6 376 1
6 474 1
6 714 1
6 136 1
6 243 1
6 536 1
6 516 1
6 480 1
6 37 1
6 482 1
6 313 1
6 103 1
6 366 1
6 54 1
6 692 1
6 592 1
6 624 1
6 217 1
6 78 1
6 445 1
6 48 1
6 248 1
6 406 1
6 465 1
6 39 1
6 639 1
6 635 1
6 733 1
6 544 1
6 99 1
6 630 1
6 251 1
6 483 1
6 347 1
6 132 1
6 324 1
6 398 1
6 381 1
6 648 1
6 587 1
6 273 1
6 380 1
6 620 1
6 423 1
6 239 1
6 383 1
6 341 1
6 115 1
6 717 1
6 316 1
7 196 1
7 174 1
7 588 1
7 269 1
7 296 1
7 620 1
7 397 1
7 603 1
7 653 1
7 71 1
7 146 1
7 103 1
7 556 1
7 477 1
7 437 1
7 191 1
7 297 1
7 108 1
7 236 1
7 428 1
7 570 1
7 329 1
7 589 1
7 720 1
7 261 1
7 335 1
7 24 1
7 312 1
7 32 1
7 573 1
7 207 1
7 747 1
7 592 1
7 503 1
7 374 1
7 250 1
7 578 1
7 542 1
7 558 1
7 37 1
7 362 1
7 369 1
7 295 1
7 15 1
7 40 1
7 331 1
7 452 1
7 432 1
7 46 1
7 138 1
7 272 1
7 164 1
7 185 1
7 294 1
7 89 1
7 633 1
7 198 1
7 601 1
7 525 1
7 111 1
7 564 1
7 67 1
7 352 1
7 681 1
7 100 1
7 28 1
7 492 1
7 657 1
7 122 1
7 446 1
7 388 1
7 270 1
7 418 1
7 190 1
7 605 1
7 574 1
7 202 1
7 214 1
7 323 1
7 638 1
7 315 1
7 206 1
7 613 1
7 526 1
7 275 1
7 447 1
7 533 1
7 17 1
7 739 1
7 436 1
7 708 1
7 484 1
7 299 1
7 616 1
7 365 1
7 622 1
7 10 1
7 241 1
7 64 1
7 393 1
7 420 1
7 618 1
7 493 1
7 163 1
7 257 1
7 276 1
7 732 1
7 669 1
7 635 1
7 301 1
7 264 1
7 286 1
7 118 1
7 313 1
7 11 1
7 193 1
7 234 1
7 199 1
7 277 1
7 475 1
7 701 1
7 135 1
7 172 1
7 39 1
7 311 1
7 527 1
7 208 1
7 18 1
7 682 1
7 304 1
7 426 1
7 473 1
7 736 1
7 367 1
7 404 1
7 55 1
7 500 1
7 124 1
7 422 1
7 686 1
7 440 1
7 383 1
7 593 1
8 327 1
8 633 1
8 482 1
8 544 1
8 281 1
8 458 1
8 608 1
8 20 1
8 203 1
8 249 1
8 92 1
8 653 1
8 143 1
8 227 1
8 240 1
8 330 1
8 542 1
8 122 1
8 412 1
8 292 1
8 346 1
8 691 1
8 144 1
8 177 1
8 215 1
8 667 1
8 275 1
8 565 1
8 506 1
8 191 1
8 244 1
8 406 1
8 112 1
8 418 1
8 618 1
8 17 1
8 123 1
8 309 1
8 471 1
8 222 1
8 717 1
8 131 1
8 85 1
8 536 1
8 588 1
8 423 1
8 12 1
8 234 1
8 617 1
8 500 1
8 181 1
8 561 1
8 641 1
8 716 1
8 678 1
8 684 1
8 610 1
8 510 1
8 556 1
8 563 1
8 508 1
8 282 1
8 413 1
8 313 1
8 157 1
8 729 1
8 47 1
8 68 1
8 320 1
8 210 1
8 511 1
8 218 1
8 573 1
8 507 1
8 570 1
8 271 1
8 27 1
8 447 1
8 69 1
8 624 1
8 600 1
8 449 1
8 427 1
8 365 1
8 743 1
8 76 1
8 336 1
8 659 1
8 155 1
8 127 1
8 376 1
8 385 1
8 670 1
8 48 1
8 554 1
8 243 1
8 630 1
8 703 1
8 681 1
8 40 1
8 290 1
8 523 1
8 567 1
8 465 1
8 521 1
8 326 1
8 232 1
8 67 1
8 524 1
8 512 1
8 29 1
8 205 1
8 270 1
8 539 1
8 477 1
8 450 1
8 496 1
8 306 1
8 134 1
8 568 1
8 399 1
8 254 1
8 355 1
8 454 1
8 429 1
8 579 1
8 192 1
8 498 1
8 352 1
8 483 1
8 702 1
8 552 1
8 405 1
8 488 1
8 268 1
8 432 1
8 207 1
8 581 1
8 229 1
8 333 1
8 479 1
8 156 1
8 647 1
8 99 1
8 725 1
8 272 1
9 392 1
9 39 1
9 449 1
9 267 1
9 278 1
9 366 1
9 64 1
9 466 1
9 682 1
9 742 1
9 261 1
9 334 1
9 248 1
9 303 1
9 547 1
9 263 1
9 196 1
9 604 1
9 690 1
9 548 1
9 381 1
9 162 1
9 217 1
9 555 1
9 154 1
9 556 1
9 628 1
9 463 1
9 239 1
9 430 1
9 691 1
9 333 1
9 739 1
9 114 1
9 513 1
9 546 1
9 391 1
9 599 1
9 745 1
9 175 1
9 621 1
9 183 1
9 504 1
9 118 1
9 141 1
9 123 1
9 644 1
9 125 1
9 527 1
9 76 1
9 144 1
9 657 1
9 519 1
9 661 1
9 25 1
9 594 1
9 673 1
9 148 1
9 443 1
9 193 1
9 198 1
9 216 1
9 535 1
9 158 1
9 219 1
9 251 1
9 552 1
9 230 1
9 681 1
9 282 1
9 345 1
9 399 1
9 122 1
9 573 1
9 662 1
9 227 1
9 188 1
9 115 1
9 301 1
9 420 1
9 279 1
9 176 1
9 382 1
9 47 1
9 360 1
9 516 1
9 311 1
9 68 1
9 511 1
9 138 1
9 574 1
9 481 1
9 15 1
9 385 1
9 26 1
9 51 1
9 491 1
9 611 1
9 685 1
9 238 1
9 30 1
9 213 1
9 98 1
9 363 1
9 600 1
9 18 1
9 335 1
9 207 1
9 232 1
9 614 1
9 24 1
9 414 1
9 336 1
9 244 1
9 182 1
9 206 1
9 177 1
9 717 1
9 735 1
9 60 1
9 431 1
9 359 1
9 749 1
9 438 1
9 591 1
9 740 1
9 277 1
9 81 1
9 231 1
9 635 1
9 588 1
9 69 1
9 377 1
9 620 1
9 721 1
9 647 1
9 22 1
9 342 1
9 61 1
9 73 1
9 565 1
9 568 1
9 99 1
9 734 1
9 602 1
9 613 1
10 523 1
10 234 1
10 118 1
10 701 1
10 20 1
10 552 1
10 335 1
10 653 1
10 572 1
10 107 1
10 656 1
10 319 1
10 421 1
10 116 1
10 169 1
10 389 1
10 149 1
10 239 1
10 509 1
10 616 1
10 77 1
10 547 1
10 413 1
10 153 1
10 235 1
10 229 1
10 392 1
10 668 1
10 367 1
10 418 1
10 151 1
10 383 1
10 604 1
10 550 1
10 481 1
10 428 1
10 589 1
10 618 1
10 70 1
10 292 1
10 725 1
10 291 1
10 655 1
10 637 1
10 203 1
10 63 1
10 354 1
10 483 1
10 640 1
10 624 1
10 182 1
10 39 1
10 326 1
10 74 1
10 86 1
10 219 1
10 65 1
10 339 1
10 82 1
10 22 1
10 177 1
10 375 1
10 152 1
10 365 1
10 238 1
10 309 1
10 594 1
10 373 1
10 11 1
10 439 1
10 434 1
10 700 1
10 106 1
10 627 1
10 740 1
10 626 1
10 545 1
10 282 1
10 179 1
10 156 1
10 632 1
10 593 1
10 366 1
10 357 1
10 380 1
10 528 1
10 447 1
10 53 1
10 173 1
10 162 1
10 28 1
10 584 1
10 390 1
10 29 1
10 58 1
10 496 1
10 45 1
10 574 1
10 403 1
10 79 1
10 353 1
10 207 1
10 579 1
10 666 1
10 43 1
10 705 1
10 59 1
10 455 1
10 478 1
10 620 1
10 279 1
10 278 1
10 18 1
10 623 1
10 24 1
10 662 1
10 559 1
10 126 1
10 494 1
10 76 1
10 716 1
10 330 1
11 726 1
11 204 1
11 97 1
11 51 1
11 287 1
11 553 1
11 392 1
11 210 1
11 383 1
11 162 1
11 403 1
11 300 1
11 203 1
11 318 1
11 453 1
11 466 1
11 541 1
11 551 1
11 59 1
11 161 1
11 271 1
11 341 1
11 667 1
11 297 1
11 350 1
11 476 1
11 290 1
11 577 1
11 33 1
11 687 1
11 612 1
11 456 1
11 154 1
11 282 1
11 695 1
11 348 1
11 648 1
11 675 1
11 560 1
11 135 1
11 353 1
11 223 1
11 439 1
11 355 1
11 362 1
11 691 1
11 735 1
11 669 1
11 513 1
11 458 1
11 344 1
11 13 1
11 112 1
11 558 1
11 79 1
11 633 1
11 22 1
11 376 1
11 147 1
11 393 1
11 690 1
11 218 1
11 635 1
11 64 1
11 638 1
11 542 1
11 749 1
11 468 1
11 251 1
11 428 1
11 217 1
11 294 1
11 102 1
11 581 1
11 314 1
11 380 1
11 632 1
11 310 1
11 44 1
11 239 1
11 119 1
11 374 1
11 678 1
11 123 1
11 395 1
11 243 1
11 562 1
11 536 1
11 100 1
11 88 1
11 381 1
11 679 1
11 36 1
11 264 1
11 38 1
11 208 1
11 246 1
11 41 1
11 546 1
11 200 1
11 152 1
11 710 1
11 292 1
11 28 1
11 634 1
11 260 1
11 326 1
11 301 1
11 104 1
11 732 1
11 91 1
11 544 1
11 445 1
11 262 1
11 703 1
11 593 1
11 431 1
11 522 1
11 599 1
11 280 1
11 697 1
11 254 1
11 141 1
11 242 1
11 642 1
11 230 1
11 603 1
12 134 1
12 315 1
12 384 1
12 160 1
12 443 1
12 203 1
12 190 1
12 694 1
12 399 1
12 589 1
12 204 1
12 386 1
12 337 1
12 272 1
12 151 1
12 405 1
12 285 1
12 363 1
12 40 1
12 558 1
12 224 1
12 486 1
12 163 1
12 623 1
12 241 1
12 641 1
12 201 1
12 539 1
12 408 1
12 575 1
12 317 1
12 33 1
12 541 1
12 139 1
12 228 1
12 707 1
12 231 1
12 510 1
12 573 1
12 581 1
12 544 1
12 216 1
12 495 1
12 122 1
12 321 1
12 99 1
12 730 1
12 487 1
12 468 1
12 550 1
12 184 1
12 686 1
12 177 1
12 111 1
12 459 1
12 149 1
12 170 1
12 147 1
12 425 1
12 523 1
12 159 1
12 175 1
12 420 1
12 670 1
12 656 1
12 607 1
12 475 1
12 255 1
12 591 1
12 632 1
12 162 1
12 62 1
12 393 1
12 186 1
12 608 1
12 602 1
12 64 1
12 424 1
12 70 1
12 388 1
12 81 1
12 300 1
12 594 1
12 476 1
12 324 1
12 260 1
12 471 1
12 15 1
12 328 1
12 736 1
12 208 1
12 138 1
12 133 1
12 239 1
12 714 1
12 718 1
12 284 1
12 237 1
12 306 1
12 529 1
12 568 1
12 58 1
12 189 1
12 627 1
12 35 1
12 484 1
12 492 1
12 154 1
12 477 1
12 135 1
12 660 1
12 543 1
12 305 1
12 478 1
12 27 1
12 692 1
12 628 1
12 365 1
12 391 1
12 517 1
12 301 1
12 710 1
12 503 1
12 460 1
12 344 1
12 595 1
12 109 1
12 545 1
12 54 1
12 554 1
12 65 1
12 364 1
12 643 1
12 82 1
12 114 1
12 330 1
12 103 1
12 423 1
12 616 1
12 53 1
12 158 1
12 617 1
12 734 1
12 341 1
12 74 1
12 661 1
12 66 1
12 560 1
12 711 1
12 196 1
12 178 1
12 93 1
12 605 1
12 542 1
12 742 1
12 740 1
12 308 1
12 291 1
12 268 1
12 584 1
12 411 1
13 648 1
13 153 1
13 239 1
13 371 1
13 408 1
13 314 1
13 689 1
13 627 1
13 564 1
13 154 1
13 203 1
13 750 1
13 451 1
13 426 1
13 64 1
13 73 1
13 509 1
13 167 1
13 703 1
13 515 1
13 232 1
13 256 1
13 719 1
13 559 1
13 373 1
13 152 1
13 54 1
13 683 1
13 687 1
13 112 1
13 443 1
13 195 1
13 511 1
13 587 1
13 26 1
13 620 1
13 438 1
13 296 1
13 485 1
13 215 1
13 537 1
13 568 1
13 102 1
13 259 1
13 413 1
13 383 1
13 699 1
13 145 1
13 161 1
13 279 1
13 595 1
13 671 1
13 94 1
13 652 1
13 744 1
13 412 1
13 520 1
13 729 1
13 497 1
13 482 1
13 173 1
13 352 1
13 428 1
13 579 1
13 142 1
13 342 1
13 58 1
13 693 1
13 182 1
13 146 1
13 282 1
13 320 1
13 516 1
13 150 1
13 448 1
13 686 1
13 15 1
13 745 1
13 521 1
13 294 1
13 617 1
13 218 1
13 258 1
13 692 1
13 113 1
13 89 1
13 191 1
13 128 1
13 79 1
13 622 1
13 137 1
13 539 1
13 207 1
13 34 1
13 649 1
13 393 1
13 668 1
13 612 1
13 87 1
13 354 1
13 343 1
13 691 1
13 740 1
13 265 1
13 415 1
13 204 1
13 17 1
13 456 1
13 295 1
13 83 1
13 264 1
13 424 1
13 357 1
13 27 1
13 625 1
13 728 1
13 200 1
13 743 1
13 402 1
13 630 1
13 361 1
13 163 1
13 105 1
13 377 1
13 214 1
13 166 1
13 414 1
13 714 1
13 276 1
13 159 1
13 506 1
13 65 1
13 746 1
13 109 1
13 700 1
13 372 1
13 222 1
13 95 1
13 605 1
13 254 1
13 623 1
13 421 1
13 535 1
13 129 1
13 70 1
13 479 1
13 545 1
13 339 1
13 457 1
13 381 1
13 688 1
13 292 1
13 345 1
13 662 1
13 725 1
13 430 1
13 186 1
13 684 1
13 162 1
13 710 1
14 677 1
14 600 1
14 159 1
14 444 1
14 358 1
14 99 1
14 560 1
14 483 1
14 627 1
14 611 1
14 710 1
14 225 1
14 703 1
14 566 1
14 484 1
14 277 1
14 76 1
14 694 1
14 298 1
14 129 1
14 446 1
14 303 1
14 504 1
14 319 1
14 535 1
14 384 1
14 249 1
14 442 1
14 170 1
14 536 1
14 311 1
14 420 1
14 534 1
14 746 1
14 522 1
14 398 1
14 575 1
14 106 1
14 508 1
14 35 1
14 728 1
14 592 1
14 268 1
14 213 1
14 55 1
14 691 1
14 418 1
14 110 1
14 326 1
14 238 1
14 404 1
14 562 1
14 727 1
14 78 1
14 89 1
14 250 1
14 156 1
14 373 1
14 623 1
14 529 1
14 26 1
14 552 1
14 171 1
14 730 1
14 708 1
14 524 1
14 440 1
14 494 1
14 743 1
14 668 1
14 625 1
14 667 1
14 537 1
14 393 1
14 322 1
14 723 1
14 467 1
14 608 1
14 137 1
14 445 1
14 353 1
14 329 1
14 316 1
14 676 1
14 401 1
14 596 1
14 406 1
14 470 1
14 176 1
14 191 1
14 208 1
14 263 1
14 261 1
14 598 1
14 533 1
14 498 1
14 211 1
14 473 1
14 604 1
14 105 1
14 330 1
14 36 1
14 617 1
14 91 1
14 405 1
14 615 1
14 305 1
14 257 1
14 80 1
14 24 1
14 495 1
14 254 1
14 469 1
14 39 1
14 582 1
14 587 1
14 555 1
14 463 1
14 217 1
14 428 1
14 255 1
14 347 1
14 304 1
14 603 1
14 259 1
14 361 1
14 493 1
14 564 1
14 693 1
14 247 1
14 532 1
14 569 1
14 633 1
14 700 1
14 286 1
14 731 1
14 230 1
14 50 1
14 438 1
14 658 1
14 19 1
14 157 1
14 500 1
14 531 1
14 416 1
14 182 1
14 489 1
15 65 1
15 240 1
15 291 1
15 113 1
15 550 1
15 104 1
15 17 1
15 225 1
15 89 1
15 174 1
15 289 1
15 646 1
15 524 1
15 715 1
15 606 1
15 371 1
15 733 1
15 292 1
15 321 1
15 610 1
15 170 1
15 116 1
15 496 1
15 28 1
15 570 1
15 190 1
15 93 1
15 238 1
15 355 1
15 162 1
15 100 1
15 544 1
15 263 1
15 334 1
15 389 1
15 330 1
15 538 1
15 136 1
15 215 1
15 316 1
15 585 1
15 397 1
15 641 1
15 582 1
15 278 1
15 548 1
15 508 1
15 492 1
15 540 1
15 637 1
15 180 1
15 48 1
15 177 1
15 746 1
15 471 1
15 458 1
15 361 1
15 482 1
15 149 1
15 46 1
15 169 1
15 717 1
15 164 1
15 288 1
15 712 1
15 536 1
15 556 1
15 24 1
15 357 1
15 253 1
15 430 1
15 554 1
15 444 1
15 695 1
15 202 1
15 704 1
15 233 1
15 619 1
15 625 1
15 98 1
15 557 1
15 724 1
15 601 1
15 52 1
15 462 1
15 527 1
15 235 1
15 307 1
15 575 1
15 698 1
15 396 1
15 154 1
15 624 1
15 120 1
15 59 1
15 718 1
15 277 1
15 537 1
15 127 1
15 119 1
15 479 1
15 167 1
15 352 1
15 405 1
15 675 1
15 388 1
15 411 1
15 485 1
15 558 1
15 571 1
15 58 1
15 122 1
15 552 1
15 520 1
15 341 1
15 705 1
15 128 1
15 460 1
15 739 1
15 680 1
15 87 1
15 257 1
15 124 1
15 608 1
15 614 1
15 580 1
15 686 1
15 50 1
15 597 1
15 414 1
15 264 1
15 586 1
15 146 1
15 329 1
15 32 1
15 394 1
15 434 1
15 254 1
15 73 1
15 655 1
15 623 1
15 166 1
15 526 1
15 213 1
15 367 1
15 559 1
15 16 1
15 101 1
15 513 1
15 743 1
15 261 1
15 566 1
15 584 1
15 123 1
15 103 1
15 681 1
15 107 1
15 40 1
15 677 1
15 455 1
15 634 1
15 209 1
15 510 1
15 33 1
15 616 1
15 577 1
15 86 1
15 748 1
15 189 1
16 370 1
16 421 1
16 243 1
16 453 1
16 22 1
16 352 1
16 705 1
16 147 1
16 314 1
16 165 1
16 625 1
16 101 1
16 613 1
16 79 1
16 308 1
16 111 1
16 671 1
16 731 1
16 315 1
16 492 1
16 521 1
16 65 1
16 563 1
16 687 1
16 285 1
16 99 1
16 486 1
16 465 1
16 647 1
16 455 1
16 468 1
16 555 1
16 678 1
16 112 1
16 712 1
16 475 1
16 506 1
16 617 1
16 319 1
16 429 1
16 343 1
16 298 1
16 680 1
16 50 1
16 383 1
16 60 1
16 666 1
16 487 1
16 272 1
16 346 1
16 375 1
16 544 1
16 160 1
16 155 1
16 621 1
16 200 1
16 658 1
16 696 1
16 291 1
16 365 1
16 169 1
16 654 1
16 602 1
16 312 1
16 623 1
16 174 1
16 322 1
16 364 1
16 180 1
16 484 1
16 706 1
16 300 1
16 24 1
16 238 1
16 116 1
16 501 1
16 358 1
16 41 1
16 42 1
16 547 1
16 539 1
16 107 1
16 109 1
16 203 1
16 474 1
16 356 1
16 293 1
16 606 1
16 454 1
16 72 1
16 321 1
16 37 1
16 580 1
16 642 1
16 662 1
16 128 1
16 686 1
16 576 1
16 504 1
16 720 1
16 181 1
16 340 1
16 88 1
16 194 1
16 58 1
16 735 1
16 395 1
16 472 1
16 213 1
16 27 1
16 267 1
16 74 1
16 691 1
16 459 1
16 283 1
16 251 1
16 257 1
16 672 1
16 242 1
16 21 1
16 631 1
16 330 1
16 248 1
16 525 1
16 635 1
16 288 1
16 452 1
16 347 1
16 36 1
16 145 1
16 90 1
